196509;3109;20679;1200;64461;1393;22488;1210;105381;11584;37253;23863;9348;5343;41469;2654;7229;4705;73724;5623;7410;3072;3655;1411;12572;566;19580;34418;27754;12727
34;3;278;0;1;2;235;0;23;0;77;80;117;35;2;1;325;399;66;10;1;0;3;0;252;0;67;88;502;413
10571;1603;2872;0;3721;3;8109;46;9277;56;6528;4705;62;10;3186;213;7;961;10979;146;393;0;430;1;2479;39;3153;6214;14591;2632
8556;1800;1889;0;3972;0;4601;0;5863;18;4326;3585;13;0;2850;1;3;847;9244;24;13;1;16;0;452;0;1459;4532;6678;1595
7073;226;1344;0;3892;0;2806;2;3691;23;4098;3223;27;4;3414;0;2;659;5876;20;27;1;43;0;321;10;1445;3667;4644;1219
7391;171;998;0;2684;0;3132;0;5090;26;3091;2692;228;1367;2286;18;8;377;4566;23;53;0;37;0;178;34;732;2743;1970;1115
2429;23;866;2;623;1;3430;4;2226;6;991;1734;175;13;849;86;166;423;1713;78;53;0;40;0;348;18;682;969;6262;1336
2633;2;342;0;476;0;2722;0;2366;2;1244;1236;287;11;342;14;133;479;2141;43;57;0;8;0;231;0;233;1050;4025;565
2193;23;242;0;473;0;2148;0;1713;2;972;1056;293;118;571;20;14;337;2736;21;40;0;4;0;281;2;381;910;2859;629
4980;7;933;0;1976;0;4284;2;3894;7;2963;2951;839;932;1690;36;0;1116;6713;12;125;0;19;0;366;0;1214;3104;7444;1755
