95815.245188;25528.914711;97228.863638;39340.073328;20499.301051;75386.604420;10317.876137;61575.349669;77687.224771;66703.144630;50206.145801;10440.308949;53254.591208;40708.475505;37697.880993
4.411735;227.143922;13.683737;931.030147;195.666909;55.485737;0.000000;834.382492;62.845833;454.968886;0.130337;0.000000;16.625277;176.869429;40.755558
4155.031430;8891.956223;8351.716499;2617.845292;9455.507041;7139.359501;0.000000;8505.537985;12863.286841;10215.913824;3323.974422;34.710592;3633.020755;5073.241098;8725.898499
4135.041791;5077.938842;5002.185348;604.538412;4963.683354;6056.032817;0.000000;5158.229089;11282.521704;4299.347921;3685.012781;12.235944;2071.695398;2996.322238;6993.214359
3742.591654;3637.315315;3523.764581;784.498161;2710.314085;6633.865385;0.000000;2778.517259;7484.660607;3751.284434;2890.139888;17.265493;1698.672312;2083.010624;6021.100202
3671.855972;1335.251557;4662.294079;741.432170;3086.266437;4455.683274;1191.855912;2353.082094;7005.832468;2766.232910;1707.696375;13.821917;2166.879885;1091.996089;4759.818861
271.479520;4889.934136;1325.107349;1078.229413;3437.060147;1668.704327;1.990056;2417.313604;2246.759565;3211.076534;356.876122;1.603177;1154.434708;1506.073491;1979.357850
718.216958;2682.887289;1928.629036;712.563806;2778.144883;962.883419;1.920052;1437.865115;3128.514255;1644.098786;423.739273;0.193475;1215.969556;1019.100805;1987.273294
973.372484;1655.772224;1457.620822;510.327657;2024.853352;1191.521102;74.854840;1346.766873;3330.710098;1496.299398;398.883420;0.879280;896.900007;886.679812;1792.558633
2443.267236;4546.368418;3373.662017;960.043076;5146.427445;3604.653916;874.003368;3825.745237;8243.683714;4173.020229;1687.616273;5.877750;1894.628820;1628.279690;4954.722811
