118;0;217;1974;94;51;15;4;36;2;38;1;0;22;3;1558;0;3;5;1782
3;1769;3;0;105;3;7;7;0;0;5;1;2386;2;0;0;2428;10;13;0
52;162;97;4;1058;45;126;3809;79;7;109;52;71;76;28;30;28;52;14;59
18;13;126;7;782;11;568;83;1722;1;205;20;23;2424;11;11;19;23;48;16
70;68;188;2;227;47;1;9;0;1965;5;1773;29;0;3;0;19;196;1237;3
63;16;1679;16;463;19;788;3;1058;35;192;102;7;737;4;49;16;19;133;22
2884;13;158;34;383;2245;15;5;13;4;3;12;40;4;0;49;7;0;1;48
0;86;43;7;264;4;3;20;2;72;9;304;100;0;2450;2;57;2329;507;6
15;54;234;13;554;19;1691;21;433;51;2343;46;55;131;1;15;32;66;63;14
2;14;56;16;175;6;57;8;32;873;14;1357;21;23;81;9;27;1048;2124;6
