num classes;codebook size;pca;band width;f1 macro avg;running time
02;0000;0050;0.100;1.00;54.747
10;0000;0050;0.100;1.00;85.252
02;0000;0050;0.200;1.00;56.660
10;0000;0050;0.200;1.00;80.901
02;0000;0050;0.500;1.00;48.449
10;0000;0050;0.500;0.96;67.927
02;0000;0050;1.000;0.80;53.521
10;0000;0050;1.000;0.56;63.328
02;0000;0050;2.000;0.51;46.776
10;0000;0050;2.000;0.24;67.773
02;0000;no_pca;0.100;1.00;294.935
10;0000;no_pca;0.100;1.00;313.301
02;0000;no_pca;0.200;1.00;314.488
10;0000;no_pca;0.200;1.00;327.287
02;0000;no_pca;0.500;1.00;292.135
10;0000;no_pca;0.500;1.00;309.924
02;0000;no_pca;1.000;0.98;281.826
10;0000;no_pca;1.000;0.77;310.342
02;0000;no_pca;2.000;0.52;283.178
10;0000;no_pca;2.000;0.26;328.457
02;0100;0050;0.100;0.87;5.516
10;0100;0050;0.100;0.58;20.374
02;0100;0050;0.200;0.83;4.627
10;0100;0050;0.200;0.57;20.628
02;0100;0050;0.500;0.83;4.596
10;0100;0050;0.500;0.57;20.210
02;0100;0050;1.000;0.79;4.543
10;0100;0050;1.000;0.50;20.155
02;0100;0050;2.000;0.54;4.533
10;0100;0050;2.000;0.21;19.999
02;0100;no_pca;0.100;0.96;8.116
10;0100;no_pca;0.100;0.63;32.233
02;0100;no_pca;0.200;0.91;7.628
10;0100;no_pca;0.200;0.62;31.746
02;0100;no_pca;0.500;0.91;7.602
10;0100;no_pca;0.500;0.61;31.292
02;0100;no_pca;1.000;0.89;7.441
10;0100;no_pca;1.000;0.56;32.031
02;0100;no_pca;2.000;0.56;7.311
10;0100;no_pca;2.000;0.24;30.812
02;0200;0050;0.100;0.93;7.088
10;0200;0050;0.100;0.67;27.424
02;0200;0050;0.200;0.91;8.240
10;0200;0050;0.200;0.67;28.323
02;0200;0050;0.500;0.90;7.657
10;0200;0050;0.500;0.66;27.845
02;0200;0050;1.000;0.86;7.554
10;0200;0050;1.000;0.55;27.513
02;0200;0050;2.000;0.55;7.079
10;0200;0050;2.000;0.21;28.895
02;0200;no_pca;0.100;0.97;8.228
10;0200;no_pca;0.100;0.72;38.700
02;0200;no_pca;0.200;0.95;7.793
10;0200;no_pca;0.200;0.72;38.235
02;0200;no_pca;0.500;0.95;8.043
10;0200;no_pca;0.500;0.71;37.876
02;0200;no_pca;1.000;0.94;7.608
10;0200;no_pca;1.000;0.62;36.001
02;0200;no_pca;2.000;0.57;7.691
10;0200;no_pca;2.000;0.24;36.799
02;0300;0050;0.100;0.95;7.806
10;0300;0050;0.100;0.72;29.624
02;0300;0050;0.200;0.94;7.152
10;0300;0050;0.200;0.72;30.776
02;0300;0050;0.500;0.93;7.620
10;0300;0050;0.500;0.70;29.040
02;0300;0050;1.000;0.89;7.542
10;0300;0050;1.000;0.57;28.280
02;0300;0050;2.000;0.55;6.882
10;0300;0050;2.000;0.21;28.658
02;0300;no_pca;0.100;0.97;8.509
10;0300;no_pca;0.100;0.78;42.203
02;0300;no_pca;0.200;0.96;8.368
10;0300;no_pca;0.200;0.78;42.797
02;0300;no_pca;0.500;0.96;8.074
10;0300;no_pca;0.500;0.76;42.706
02;0300;no_pca;1.000;0.95;7.920
10;0300;no_pca;1.000;0.65;40.792
02;0300;no_pca;2.000;0.57;7.924
10;0300;no_pca;2.000;0.25;43.464
