num classes;codebook size;pca;band width;macro avg;running time
02;0000;0040;0.100;1.00;171.664
10;0000;0040;0.100;1.00;197.014
02;0000;0040;0.200;1.00;169.956
10;0000;0040;0.200;1.00;196.982
02;0000;0040;0.500;1.00;150.969
10;0000;0040;0.500;0.96;180.113
02;0000;0040;1.000;0.84;184.331
10;0000;0040;1.000;0.50;171.723
02;0000;0040;2.000;0.56;163.390
10;0000;0040;2.000;0.21;187.992
02;0000;no_pca;0.100;1.00;731.745
10;0000;no_pca;0.100;1.00;925.039
02;0000;no_pca;0.200;1.00;750.901
10;0000;no_pca;0.200;1.00;935.900
02;0000;no_pca;0.500;1.00;730.143
10;0000;no_pca;0.500;1.00;912.636
02;0000;no_pca;1.000;0.99;729.743
10;0000;no_pca;1.000;0.70;919.406
02;0000;no_pca;2.000;0.57;740.680
10;0000;no_pca;2.000;0.23;910.173
02;0100;0040;0.100;0.91;6.331
10;0100;0040;0.100;0.55;25.641
02;0100;0040;0.200;0.81;5.804
10;0100;0040;0.200;0.54;25.218
02;0100;0040;0.500;0.81;5.758
10;0100;0040;0.500;0.55;24.872
02;0100;0040;1.000;0.80;5.717
10;0100;0040;1.000;0.53;24.673
02;0100;0040;2.000;0.69;5.650
10;0100;0040;2.000;0.34;24.694
02;0100;no_pca;0.100;1.00;13.288
10;0100;no_pca;0.100;0.63;62.358
02;0100;no_pca;0.200;0.91;12.282
10;0100;no_pca;0.200;0.61;60.416
02;0100;no_pca;0.500;0.91;12.484
10;0100;no_pca;0.500;0.61;60.572
02;0100;no_pca;1.000;0.90;11.926
10;0100;no_pca;1.000;0.60;59.707
02;0100;no_pca;2.000;0.78;12.248
10;0100;no_pca;2.000;0.39;61.075
02;0200;0040;0.100;0.96;7.030
10;0200;0040;0.100;0.63;26.769
02;0200;0040;0.200;0.94;5.969
10;0200;0040;0.200;0.63;26.594
02;0200;0040;0.500;0.94;5.929
10;0200;0040;0.500;0.63;25.956
02;0200;0040;1.000;0.90;6.344
10;0200;0040;1.000;0.58;28.550
02;0200;0040;2.000;0.75;6.333
10;0200;0040;2.000;0.34;25.738
02;0200;no_pca;0.100;1.00;13.441
10;0200;no_pca;0.100;0.73;70.365
02;0200;no_pca;0.200;0.98;12.952
10;0200;no_pca;0.200;0.72;70.170
02;0200;no_pca;0.500;0.97;12.864
10;0200;no_pca;0.500;0.73;69.568
02;0200;no_pca;1.000;0.97;12.547
10;0200;no_pca;1.000;0.67;69.278
02;0200;no_pca;2.000;0.82;12.560
10;0200;no_pca;2.000;0.40;69.175
02;0300;0040;0.100;0.97;13.038
10;0300;0040;0.100;0.69;49.267
02;0300;0040;0.200;0.95;12.431
10;0300;0040;0.200;0.68;49.564
02;0300;0040;0.500;0.95;11.870
10;0300;0040;0.500;0.68;48.658
02;0300;0040;1.000;0.91;12.136
10;0300;0040;1.000;0.59;48.242
02;0300;0040;2.000;0.73;12.707
10;0300;0040;2.000;0.33;52.412
02;0300;no_pca;0.100;1.00;13.854
10;0300;no_pca;0.100;0.79;79.106
02;0300;no_pca;0.200;0.99;14.347
10;0300;no_pca;0.200;0.79;78.021
02;0300;no_pca;0.500;0.99;13.403
10;0300;no_pca;0.500;0.79;77.524
02;0300;no_pca;1.000;0.98;13.372
10;0300;no_pca;1.000;0.70;74.927
02;0300;no_pca;2.000;0.83;13.295
10;0300;no_pca;2.000;0.40;77.152
