num classes;codebook size;pca;K;f1 macro avg;running time
02;0000;0050;003;0.99;96.705
10;0000;0050;003;0.85;96.199
02;0000;0050;005;0.97;98.142
10;0000;0050;005;0.81;96.518
02;0000;0050;007;0.97;99.359
10;0000;0050;007;0.79;99.771
02;0000;0050;009;0.97;114.120
10;0000;0050;009;0.77;114.271
02;0000;0050;011;0.97;102.539
10;0000;0050;011;0.76;114.419
02;0000;0050;013;0.97;105.206
10;0000;0050;013;0.75;103.499
02;0000;no_pca;003;0.99;60.970
10;0000;no_pca;003;0.87;56.775
02;0000;no_pca;005;0.97;60.077
10;0000;no_pca;005;0.83;58.714
02;0000;no_pca;007;0.97;63.730
10;0000;no_pca;007;0.81;59.981
02;0000;no_pca;009;0.97;61.767
10;0000;no_pca;009;0.80;62.792
02;0000;no_pca;011;0.97;64.063
10;0000;no_pca;011;0.78;60.935
02;0000;no_pca;013;0.97;60.520
10;0000;no_pca;013;0.77;60.758
02;0100;0050;003;0.69;9.256
10;0100;0050;003;0.44;24.890
02;0100;0050;005;0.58;9.852
10;0100;0050;005;0.40;26.205
02;0100;0050;007;0.56;10.249
10;0100;0050;007;0.36;27.105
02;0100;0050;009;0.56;10.339
10;0100;0050;009;0.35;27.986
02;0100;0050;011;0.57;10.176
10;0100;0050;011;0.35;28.143
02;0100;0050;013;0.54;10.367
10;0100;0050;013;0.33;29.282
02;0100;no_pca;003;0.66;2.439
10;0100;no_pca;003;0.47;6.623
02;0100;no_pca;005;0.64;2.289
10;0100;no_pca;005;0.43;6.681
02;0100;no_pca;007;0.59;2.550
10;0100;no_pca;007;0.39;6.524
02;0100;no_pca;009;0.57;2.560
10;0100;no_pca;009;0.37;6.770
02;0100;no_pca;011;0.57;2.365
10;0100;no_pca;011;0.36;7.559
02;0100;no_pca;013;0.58;2.664
10;0100;no_pca;013;0.35;7.191
02;0200;0050;003;0.82;10.398
10;0200;0050;003;0.52;30.761
02;0200;0050;005;0.75;11.217
10;0200;0050;005;0.47;33.026
02;0200;0050;007;0.65;11.537
10;0200;0050;007;0.44;34.389
02;0200;0050;009;0.60;11.317
10;0200;0050;009;0.43;35.491
02;0200;0050;011;0.61;11.431
10;0200;0050;011;0.42;36.205
02;0200;0050;013;0.59;12.002
10;0200;0050;013;0.41;35.632
02;0200;no_pca;003;0.89;2.837
10;0200;no_pca;003;0.55;8.113
02;0200;no_pca;005;0.86;2.966
10;0200;no_pca;005;0.51;9.033
02;0200;no_pca;007;0.76;2.957
10;0200;no_pca;007;0.48;8.663
02;0200;no_pca;009;0.74;2.957
10;0200;no_pca;009;0.46;9.401
02;0200;no_pca;011;0.61;3.361
10;0200;no_pca;011;0.46;8.971
02;0200;no_pca;013;0.69;3.078
10;0200;no_pca;013;0.44;9.284
02;0300;0050;003;0.88;8.741
10;0300;0050;003;0.56;34.042
02;0300;0050;005;0.81;8.914
10;0300;0050;005;0.51;35.848
02;0300;0050;007;0.72;9.480
10;0300;0050;007;0.49;36.629
02;0300;0050;009;0.67;10.130
10;0300;0050;009;0.47;38.238
02;0300;0050;011;0.72;9.796
10;0300;0050;011;0.46;39.063
02;0300;0050;013;0.60;10.708
10;0300;0050;013;0.44;40.725
02;0300;no_pca;003;0.95;2.671
10;0300;no_pca;003;0.59;9.484
02;0300;no_pca;005;0.93;2.654
10;0300;no_pca;005;0.54;9.864
02;0300;no_pca;007;0.87;2.702
10;0300;no_pca;007;0.52;10.122
02;0300;no_pca;009;0.74;2.729
10;0300;no_pca;009;0.50;9.973
02;0300;no_pca;011;0.75;2.837
10;0300;no_pca;011;0.49;10.599
02;0300;no_pca;013;0.67;3.285
10;0300;no_pca;013;0.48;10.744
