num classes;codebook size;pca;K;macro avg;running time
02;0000;0050;003;0.98;179.226
10;0000;0050;003;0.90;178.515
02;0000;0050;005;0.98;182.302
10;0000;0050;005;0.87;202.313
02;0000;0050;007;0.97;181.325
10;0000;0050;007;0.85;191.409
02;0000;0050;009;0.98;199.392
10;0000;0050;009;0.84;206.055
02;0000;0050;011;0.97;196.625
10;0000;0050;011;0.83;210.905
02;0000;0050;013;0.97;202.424
10;0000;0050;013;0.82;196.700
02;0000;no_pca;003;0.99;106.560
10;0000;no_pca;003;0.92;105.641
02;0000;no_pca;005;0.98;105.996
10;0000;no_pca;005;0.89;104.891
02;0000;no_pca;007;0.97;113.762
10;0000;no_pca;007;0.87;103.710
02;0000;no_pca;009;0.97;106.554
10;0000;no_pca;009;0.86;109.846
02;0000;no_pca;011;0.97;104.357
10;0000;no_pca;011;0.85;110.613
02;0000;no_pca;013;0.97;105.459
10;0000;no_pca;013;0.84;107.195
02;0100;0050;003;0.80;11.479
10;0100;0050;003;0.55;36.448
02;0100;0050;005;0.85;12.594
10;0100;0050;005;0.49;40.792
02;0100;0050;007;0.83;11.146
10;0100;0050;007;0.49;36.414
02;0100;0050;009;0.84;11.310
10;0100;0050;009;0.47;37.821
02;0100;0050;011;0.84;10.832
10;0100;0050;011;0.46;39.425
02;0100;0050;013;0.84;10.387
10;0100;0050;013;0.45;39.039
02;0100;no_pca;003;0.88;2.677
10;0100;no_pca;003;0.61;9.001
02;0100;no_pca;005;0.88;2.511
10;0100;no_pca;005;0.55;9.747
02;0100;no_pca;007;0.87;2.637
10;0100;no_pca;007;0.51;9.928
02;0100;no_pca;009;0.88;2.869
10;0100;no_pca;009;0.51;9.863
02;0100;no_pca;011;0.86;2.855
10;0100;no_pca;011;0.49;10.472
02;0100;no_pca;013;0.87;2.523
10;0100;no_pca;013;0.49;10.339
02;0200;0050;003;0.84;9.250
10;0200;0050;003;0.63;41.678
02;0200;0050;005;0.86;9.914
10;0200;0050;005;0.56;43.077
02;0200;0050;007;0.87;10.149
10;0200;0050;007;0.53;44.929
02;0200;0050;009;0.88;10.352
10;0200;0050;009;0.52;45.646
02;0200;0050;011;0.90;10.031
10;0200;0050;011;0.50;48.047
02;0200;0050;013;0.91;10.196
10;0200;0050;013;0.49;46.593
02;0200;no_pca;003;0.92;2.468
10;0200;no_pca;003;0.66;12.445
02;0200;no_pca;005;0.94;2.580
10;0200;no_pca;005;0.60;13.059
02;0200;no_pca;007;0.93;2.729
10;0200;no_pca;007;0.58;12.443
02;0200;no_pca;009;0.93;2.689
10;0200;no_pca;009;0.57;12.521
02;0200;no_pca;011;0.93;2.629
10;0200;no_pca;011;0.53;12.714
02;0200;no_pca;013;0.94;2.792
10;0200;no_pca;013;0.52;12.949
02;0300;0050;003;0.89;9.937
10;0300;0050;003;0.64;47.464
02;0300;0050;005;0.91;10.268
10;0300;0050;005;0.58;49.541
02;0300;0050;007;0.90;10.443
10;0300;0050;007;0.55;60.939
02;0300;0050;009;0.93;10.507
10;0300;0050;009;0.53;59.893
02;0300;0050;011;0.93;10.861
10;0300;0050;011;0.51;51.615
02;0300;0050;013;0.92;11.205
10;0300;0050;013;0.50;52.582
02;0300;no_pca;003;0.95;2.731
10;0300;no_pca;003;0.70;14.450
02;0300;no_pca;005;0.94;2.589
10;0300;no_pca;005;0.64;14.083
02;0300;no_pca;007;0.94;2.698
10;0300;no_pca;007;0.61;14.541
02;0300;no_pca;009;0.94;2.670
10;0300;no_pca;009;0.58;14.350
02;0300;no_pca;011;0.95;3.053
10;0300;no_pca;011;0.56;14.722
02;0300;no_pca;013;0.95;2.808
10;0300;no_pca;013;0.54;15.591
