J;pca;min var;covar type;f1 macro avg
macro;0.53;0.52;0.52;
macro;0.70;0.69;0.69;
macro;0.76;0.75;0.75;
macro;0.78;0.78;0.78;
macro;0.81;0.80;0.80;
macro;0.83;0.83;0.83;
macro;0.82;0.82;0.82;
macro;0.86;0.85;0.85;
macro;0.86;0.86;0.86;
macro;0.94;0.94;0.94;
macro;0.87;0.87;0.87;
macro;0.88;0.88;0.88;
macro;0.88;0.88;0.88;
macro;0.88;0.88;0.88;
macro;0.89;0.89;0.89;
macro;0.89;0.89;0.89;
macro;0.90;0.90;0.90;
macro;0.91;0.91;0.91;
macro;0.92;0.92;0.92;
macro;0.92;0.92;0.92;
macro;0.92;0.92;0.92;
macro;0.93;0.93;0.93;
macro;0.93;0.93;0.93;
macro;0.93;0.93;0.93;
macro;0.94;0.94;0.94;
macro;0.94;0.94;0.94;
macro;0.94;0.94;0.94;
