codebook size;pca;K;f1 macro avg;running time
0000;0037;003;0.99;22.430
0000;0037;005;0.99;22.021
0000;0037;007;0.98;22.713
0000;0037;009;0.98;23.372
0000;0037;011;0.98;24.875
0000;0037;013;0.98;23.002
0000;0041;003;0.99;19.382
0000;0041;005;0.99;22.224
0000;0041;007;0.98;23.404
0000;0041;009;0.98;24.179
0000;0041;011;0.98;24.308
0000;0041;013;0.98;24.705
0000;0053;003;0.99;25.903
0000;0053;005;0.99;25.897
0000;0053;007;0.98;27.636
0000;0053;009;0.98;27.246
0000;0053;011;0.98;28.871
0000;0053;013;0.98;29.028
0000;0067;003;0.99;28.993
0000;0067;005;0.99;30.120
0000;0067;007;0.98;32.576
0000;0067;009;0.98;33.644
0000;0067;011;0.98;32.472
0000;0067;013;0.98;32.560
0000;0154;003;0.99;48.884
0000;0154;005;0.98;54.149
0000;0154;007;0.98;53.916
0000;0154;009;0.98;53.970
0000;0154;011;0.98;54.047
0000;0154;013;0.97;58.804
0100;0037;003;0.95;13.549
0100;0037;005;0.94;13.857
0100;0037;007;0.94;14.070
0100;0037;009;0.94;14.472
0100;0037;011;0.93;14.302
0100;0037;013;0.93;14.346
0100;0041;003;0.94;14.167
0100;0041;005;0.94;14.390
0100;0041;007;0.94;14.538
0100;0041;009;0.94;14.384
0100;0041;011;0.93;14.818
0100;0041;013;0.93;14.890
0100;0053;003;0.95;13.747
0100;0053;005;0.94;13.623
0100;0053;007;0.94;13.926
0100;0053;009;0.94;14.441
0100;0053;011;0.93;14.454
0100;0053;013;0.93;14.413
0100;0067;003;0.95;13.735
0100;0067;005;0.94;14.035
0100;0067;007;0.94;14.239
0100;0067;009;0.94;14.456
0100;0067;011;0.93;14.802
0100;0067;013;0.93;14.950
0100;0154;003;0.95;15.642
0100;0154;005;0.94;16.585
0100;0154;007;0.94;16.911
0100;0154;009;0.94;16.785
0100;0154;011;0.94;17.583
0100;0154;013;0.93;17.285
0200;0037;003;0.96;22.891
0200;0037;005;0.96;23.337
0200;0037;007;0.95;23.477
0200;0037;009;0.95;23.919
0200;0037;011;0.95;23.783
0200;0037;013;0.94;23.916
0200;0041;003;0.96;23.187
0200;0041;005;0.95;23.707
0200;0041;007;0.95;24.239
0200;0041;009;0.95;24.370
0200;0041;011;0.95;24.514
0200;0041;013;0.95;24.500
0200;0053;003;0.96;24.039
0200;0053;005;0.96;24.361
0200;0053;007;0.95;24.807
0200;0053;009;0.95;25.266
0200;0053;011;0.95;25.315
0200;0053;013;0.95;25.079
0200;0067;003;0.96;26.143
0200;0067;005;0.95;26.565
0200;0067;007;0.95;26.954
0200;0067;009;0.95;27.114
0200;0067;011;0.95;27.287
0200;0067;013;0.95;27.509
0200;0154;003;0.96;28.664
0200;0154;005;0.96;28.670
0200;0154;007;0.95;28.852
0200;0154;009;0.95;29.498
0200;0154;011;0.95;29.424
0200;0154;013;0.95;29.753
0300;0037;003;0.96;38.353
0300;0037;005;0.96;39.314
0300;0037;007;0.96;38.938
0300;0037;009;0.96;39.517
0300;0037;011;0.95;39.868
0300;0037;013;0.95;39.484
0300;0041;003;0.96;37.661
0300;0041;005;0.96;37.829
0300;0041;007;0.96;38.202
0300;0041;009;0.95;38.235
0300;0041;011;0.95;38.292
0300;0041;013;0.95;38.637
0300;0053;003;0.96;39.070
0300;0053;005;0.96;39.533
0300;0053;007;0.96;39.859
0300;0053;009;0.96;40.484
0300;0053;011;0.95;41.117
0300;0053;013;0.95;40.939
0300;0067;003;0.96;41.178
0300;0067;005;0.96;42.011
0300;0067;007;0.96;42.272
0300;0067;009;0.96;42.196
0300;0067;011;0.95;43.155
0300;0067;013;0.95;42.749
0300;0154;003;0.96;45.091
0300;0154;005;0.96;45.982
0300;0154;007;0.96;46.402
0300;0154;009;0.96;46.317
0300;0154;011;0.95;47.041
0300;0154;013;0.95;46.667
0500;0037;003;0.97;84.497
0500;0037;005;0.97;85.236
0500;0037;007;0.96;85.385
0500;0037;009;0.96;85.548
0500;0037;011;0.96;86.158
0500;0037;013;0.96;86.093
0500;0041;003;0.97;84.760
0500;0041;005;0.96;85.014
0500;0041;007;0.96;85.352
0500;0041;009;0.96;85.489
0500;0041;011;0.96;86.181
0500;0041;013;0.96;85.655
0500;0053;003;0.97;81.395
0500;0053;005;0.97;82.335
0500;0053;007;0.96;82.104
0500;0053;009;0.96;82.812
0500;0053;011;0.96;82.701
0500;0053;013;0.96;82.917
0500;0067;003;0.97;88.855
0500;0067;005;0.97;89.533
0500;0067;007;0.96;89.454
0500;0067;009;0.96;89.773
0500;0067;011;0.96;89.848
0500;0067;013;0.96;90.461
0500;0154;003;0.97;99.170
0500;0154;005;0.96;100.195
0500;0154;007;0.96;100.443
0500;0154;009;0.96;100.794
0500;0154;011;0.96;100.411
0500;0154;013;0.96;101.054
